county,state,year,number_of_crimes,geometry,crime_ranking
Dade,FL,1983,405,POINT (-82.1959178 28.3647248),0.8065134099616859
Grady,OK,1983,4,POINT (-97.6655824 34.0203753),0.9985632183908046
Lebanon,PA,1983,2,POINT (-76.4233816 40.3429683),0.9995210727969348
Horry,SC,1983,13,POINT (-79.1341782 33.9368081),0.9942528735632185
Faulkner,AR,1984,3,POINT (-94.0863113 34.3403867),0.9990421455938696
Rockcastle,KY,1984,2,POINT (-87.9872444 36.8997741),0.9995210727969348
Jasper,MO,1984,3,POINT (-94.301336 37.3361642),0.9990421455938696
Hancock,MS,1984,3,POINT (-88.8089424 33.4567886),0.9990421455938696
Orange,TX,1984,5,POINT (-93.7365549 30.0929879),0.9980842911877394
Carroll,AR,1985,1,POINT (-93.5844917 36.3798693),1.0
Cascade,MT,1985,3,POINT (-111.700537 47.271061),0.9990421455938696
Onslow,NC,1985,9,POINT (-77.5074674 34.4479452),0.9961685823754788
Grafton,NH,1985,1,POINT (-71.946716 43.562979),1.0
Chautauqua,NY,1985,2,POINT (-79.4663814 42.209633),0.9995210727969348
Blount,TN,1985,1,POINT (-83.8961922 35.7813807),1.0
Houston,AL,1986,4,POINT (-87.2580686 34.1414925),0.9985632183908046
Acadia,LA,1986,4,POINT (-90.8014815 29.7688198),0.9985632183908046
Allegan,MI,1986,4,POINT (-85.8553031 42.5291989),0.9985632183908046
Gaston,NC,1986,10,POINT (-77.6449804 36.5004281),0.9956896551724138
Fulton,NY,1986,1,POINT (-74.453611 42.571111),1.0
Klamath,OR,1986,8,POINT (-121.78167 42.224867),0.996647509578544
Faulkner,AR,1987,1,POINT (-94.0863113 34.3403867),1.0
Sarasota,FL,1987,15,POINT (-82.5308545 27.3365805),0.9932950191570882
Delaware,IN,1987,10,POINT (-85.2071816 39.1478313),0.9956896551724138
Marion,KS,1987,1,POINT (-97.0195946 38.3473241),1.0
Ingham,MI,1987,9,POINT (-84.3116086 42.5760964),0.9961685823754788
Cleveland,OK,1987,10,POINT (-96.4641953 36.3099921),0.9956896551724138
Bastrop,TX,1987,4,POINT (-97.3152701 30.1104947),0.9985632183908046
Black Hawk,IA,1988,3,POINT (-90.6376389 41.5208652),0.9990421455938696
Woodbury,IA,1988,1,POINT (-93.5016353 41.6265078),1.0
Grant,LA,1988,1,POINT (-92.9484868 30.7885279),1.0
Somerset,MD,1988,1,POINT (-77.0969786 38.9666168),1.0
Torrance,NM,1988,1,POINT (-105.5280589 34.3411842),1.0
Cuyahoga,OH,1988,173,POINT (-81.4828123 41.1362729),0.9176245210727968
Cleveland,OK,1988,7,POINT (-96.4641953 36.3099921),0.9971264367816092
Charlotte,VA,1988,3,POINT (-78.638334 37.0565362),0.9990421455938696
Kanawha,WV,1988,15,POINT (-81.4601209 39.1989653),0.9932950191570882
Nicholas,WV,1988,2,POINT (-80.9855884 38.1784065),0.9995210727969348
Lee,AL,1989,4,POINT (-86.0750377 31.4888366),0.9985632183908046
Grady,GA,1989,2,POINT (-84.2152498 30.8949184),0.9995210727969348
Warren,IL,1989,1,POINT (-89.9895516 42.4964843),1.0
Buchanan,MO,1989,2,POINT (-90.1923298 37.2111632),0.9995210727969348
Caswell,NC,1989,2,POINT (-78.051102 33.8960076),0.9995210727969348
Parker,TX,1989,3,POINT (-96.6220692 33.0555687),0.9990421455938696
Hanover,VA,1989,8,POINT (-77.3702584 37.766531),0.996647509578544
Waukesha,WI,1989,1,POINT (-88.2314813 43.0116784),1.0
Buchanan,IA,1990,1,POINT (-91.246335 41.7650514),1.0
Mahaska,IA,1990,1,POINT (-92.6710406 41.304581),1.0
Worcester,MA,1990,2,POINT (-71.8018877 42.2625621),0.9995210727969348
Bladen,NC,1990,6,POINT (-78.4750062 34.537393),0.9976053639846744
Albany,NY,1990,9,POINT (-73.754968 42.6511674),0.9961685823754788
Putnam,OH,1990,2,POINT (-82.0079148 39.9222898),0.9995210727969348
Winnebago,IL,1991,15,POINT (-89.2412202 42.2661312),0.9932950191570882
Prentiss,MS,1991,1,POINT (-89.8670229 31.5985012),1.0
Ulster,NY,1991,3,POINT (-74.010833 41.960556),0.9990421455938696
Montmorency,MI,1992,3,POINT (-84.1246817 45.1377392),0.9990421455938696
Essex,NJ,1992,139,POINT (-74.2845925 40.8245442),0.9339080459770116
Livingston,NY,1992,1,POINT (-73.777905 42.1420336),1.0
Marion,OR,1992,23,POINT (-122.942314 44.7490108),0.9894636015325672
Union,PA,1992,2,POINT (-76.0605057 39.840939),0.9995210727969348
Obion,TN,1992,1,POINT (-89.1917353 36.2589567),1.0
Arlington,VA,1992,11,POINT (-77.0841585 38.8903961),0.9952107279693486
Maricopa,AZ,1993,242,POINT (-112.047755 33.058129),0.8845785440613027
Dorchester,MD,1993,2,POINT (-76.6864432 39.3321017),0.9995210727969348
Navajo,AZ,1994,4,POINT (-109.537964 35.1243353),0.9985632183908046
Franklin,LA,1994,2,POINT (-91.5055523 29.7962145),0.9995210727969348
Hampden,MA,1994,19,POINT (-72.413682 42.0641195),0.9913793103448276
Chatham,NC,1994,3,POINT (-80.7609721 35.3465823),0.9990421455938696
Essex,NJ,1994,134,POINT (-74.2845925 40.8245442),0.9363026819923372
Scurry,TX,1994,1,POINT (-96.3808167 32.5187487),1.0
Asotin,WA,1994,1,POINT (-117.048211 46.3393265),1.0
Tippecanoe,IN,1995,2,POINT (-86.114999 41.2089325),0.9995210727969348
Carroll,MD,1995,1,POINT (-76.667172 39.2859147),1.0
Haskell,OK,1995,1,POINT (-95.674149 35.8203784),1.0
Dillon,SC,1981,2,POINT (-79.3713948 34.4165391),0.9995210727969348
Boulder,CO,1984,2,POINT (-105.270545 40.0149856),0.9995210727969348
Gratiot,MI,1984,1,POINT (-82.4805061 43.0414386),1.0
Broward,FL,1986,137,POINT (-80.1112059 26.2983934),0.9348659003831418
Mayes,OK,1987,2,POINT (-95.3240152 36.2391627),0.9995210727969348
Huntingdon,PA,1987,1,POINT (-78.0102813 40.4847959),1.0
Morgan,MO,1991,1,POINT (-92.6765617 37.5103226),1.0
Brunswick,NC,1992,1,POINT (-78.7011356 34.2867996),1.0
Bullock,AL,1980,1,POINT (-86.1785637 31.5407182),1.0
Crittenden,AR,1980,10,POINT (-90.4556579 35.2442546),0.9956896551724138
Wakulla,FL,1980,2,POINT (-84.2310065 30.2368696),0.9995210727969348
Champaign,IL,1980,8,POINT (-88.2430932 40.1164841),0.996647509578544
Montcalm,MI,1980,1,POINT (-85.2521977 43.271685),1.0
Fayette,OH,1980,1,POINT (-84.3268927 41.6733867),1.0
Kingfisher,OK,1980,3,POINT (-97.9338168 35.8575681),0.9990421455938696
Davidson,TN,1980,98,POINT (-86.7742984 36.1622767),0.953544061302682
Waynesboro,VA,1980,2,POINT (-78.8893999 38.0686668),0.9995210727969348
Dillingham,AK,1981,1,POINT (-158.4604177 59.0398598),1.0
Hardin,KY,1981,3,POINT (-88.2953134 36.7647773),0.9990421455938696
Muskegon,MI,1981,12,POINT (-86.2483921 43.2341813),0.9947318007662836
Churchill,NV,1981,2,POINT (-119.280992 39.2715845),0.9995210727969348
Otsego,NY,1981,1,POINT (-74.958889 42.734722),1.0
San Augustine,TX,1981,1,POINT (-94.1060282 31.5299029),1.0
Marion,AL,1982,2,POINT (-87.3191655 32.6323536),0.9995210727969348
Bannock,ID,1982,1,POINT (-115.834496 43.8280309),1.0
Linn,KS,1982,1,POINT (-97.084192 39.680002),1.0
Hertford,NC,1982,3,POINT (-76.4660519 36.190158),0.9990421455938696
Bucks,PA,1982,15,POINT (-75.0975428 40.2630477),0.9932950191570882
Giles,TN,1982,1,POINT (-90.0431458 35.3245306),1.0
Mohave,AZ,1983,5,POINT (-114.5973754 34.89992),0.9980842911877394
La Paz,AZ,1983,3,POINT (-114.2418914 33.5769712),0.9990421455938696
Pasco,FL,1983,12,POINT (-82.3370334 28.3247263),0.9947318007662836
Winnebago,IL,1983,10,POINT (-89.2412202 42.2661312),0.9956896551724138
Columbus,NC,1983,4,POINT (-82.1970584 35.2531698),0.9985632183908046
Cape May,NJ,1983,6,POINT (-74.9214226 38.933431),0.9976053639846744
Middlesex,NJ,1983,12,POINT (-74.494037 40.5734911),0.9947318007662836
Salt Lake,UT,1983,29,POINT (-111.886797 40.7596198),0.9865900383141762
Walker,GA,1984,4,POINT (-84.3149103 31.5404516),0.9985632183908046
St. Joseph,IN,1984,13,POINT (-86.1538016 39.7787136),0.9942528735632185
Anderson,KY,1984,1,POINT (-87.1702802 36.6958768),1.0
Marion,KY,1984,4,POINT (-88.0811349 37.3328286),0.9985632183908046
Genesee,MI,1984,58,POINT (-84.5643933 42.7378368),0.9727011494252874
Rensselaer,NY,1984,4,POINT (-73.742898 42.6425795),0.9985632183908046
Collin,TX,1984,6,POINT (-96.8163888 33.1987288),0.9976053639846744
Tuscaloosa,AL,1985,5,POINT (-87.5675258 33.2095614),0.9980842911877394
Bath,KY,1985,2,POINT (-82.9112719 37.2425996),0.9995210727969348
Quitman,MS,1985,1,POINT (-88.7281 32.0401499),1.0
Calhoun,SC,1985,2,POINT (-82.831532 34.6926053),0.9995210727969348
Davidson,TN,1985,89,POINT (-86.7742984 36.1622767),0.9578544061302682
Galax,VA,1985,1,POINT (-80.9239671 36.6612387),1.0
Vernon,WI,1985,1,POINT (-88.2523142 42.9036248),1.0
Cherokee,AL,1986,1,POINT (-87.9728143 34.7570342),1.0
Calaveras,CA,1986,3,POINT (-120.8466037 38.1707527),0.9990421455938696
Contra Costa,CA,1986,53,POINT (-122.054374 37.9265354),0.975095785440613
Los Angeles,CA,1986,1513,POINT (-118.242766 34.0536909),0.2758620689655172
Durham,NC,1986,24,POINT (-78.9018053 35.996653),0.988984674329502
Belmont,OH,1986,1,POINT (-81.0389883 40.0292374),1.0
Sumter,AL,1987,1,POINT (-87.1277738 33.353446),1.0
Coahoma,MS,1987,1,POINT (-90.5231561 34.3667731),1.0
Clinton,OH,1987,1,POINT (-81.6304022 40.9267224),1.0
Hamilton,IN,1988,4,POINT (-84.9123697 41.5335996),0.9985632183908046
Iberia,LA,1988,4,POINT (-91.8187285 30.0035365),0.9985632183908046
Northampton,NC,1988,4,POINT (-78.4756446 35.9506948),0.9985632183908046
Pender,NC,1988,6,POINT (-77.592753 36.3104307),0.9976053639846744
Erie,PA,1988,8,POINT (-80.0852695 42.1294712),0.996647509578544
Cherokee,TX,1988,2,POINT (-98.7088377 30.9809367),0.9995210727969348
Franklin,IL,1989,2,POINT (-90.0440001 39.6203259),0.9995210727969348
Fayette,KY,1989,13,POINT (-84.4970393 38.0464066),0.9942528735632185
Wise,TX,1989,4,POINT (-96.035248 32.5134708),0.9985632183908046
Henry,VA,1989,4,POINT (-79.9917065 36.8293043),0.9985632183908046
Terrebonne,LA,1990,9,POINT (-90.9291505 29.6262527),0.9961685823754788
Madison,IL,1991,7,POINT (-90.1570536 38.6825502),0.9971264367816092
Wayne,NC,1991,18,POINT (-78.7082638 35.9001087),0.9918582375478928
Lorain,OH,1991,10,POINT (-82.1781904 41.4673238),0.9956896551724138
Greenwood,SC,1991,4,POINT (-82.1617883 34.1954001),0.9985632183908046
Crawford,WI,1991,1,POINT (-89.7292904 43.4544282),1.0
Humboldt,CA,1992,7,POINT (-124.2088339 40.7408935),0.9971264367816092
Huron,MI,1992,2,POINT (-82.4333742 42.9760854),0.9995210727969348
Greene,NY,1992,1,POINT (-75.7699147 42.3292408),1.0
Greene,TN,1992,1,POINT (-83.2616205 36.2403709),1.0
Burleson,TX,1992,8,POINT (-97.3208492 32.5420821),0.996647509578544
Kaufman,TX,1992,9,POINT (-96.3086768 32.5867797),0.9961685823754788
Kleberg,TX,1992,2,POINT (-96.6158262 32.6715211),0.9995210727969348
Colbert,AL,1993,8,POINT (-85.2366056 32.2826476),0.996647509578544
Chesterfield,SC,1993,9,POINT (-80.0881194 34.735989),0.9961685823754788
San Patricio,TX,1993,6,POINT (-97.773172 27.9695325),0.9976053639846744
Ellis,TX,1993,12,POINT (-102.3870271 31.8718613),0.9947318007662836
Dane,WI,1993,4,POINT (-89.5015088 43.2505472),0.9985632183908046
Cobb,GA,1994,16,POINT (-83.9881802 31.9591236),0.992816091954023
San Juan,NM,1994,10,POINT (-108.5288693 36.7348233),0.9956896551724138
Grant,OK,1994,1,POINT (-95.5150389 33.9428033),1.0
Woodward,OK,1994,1,POINT (-99.3903862 36.4336481),1.0
Freestone,TX,1994,1,POINT (-96.2480265 31.5423947),1.0
Chelan,WA,1994,4,POINT (-120.0164591 47.8409698),0.9985632183908046
Colbert,AL,1995,2,POINT (-85.2366056 32.2826476),0.9995210727969348
Dade,FL,1995,320,POINT (-82.1959178 28.3647248),0.8472222222222222
Rabun,GA,1995,1,POINT (-83.3864536 34.9572143),1.0
Floyd,KY,1995,1,POINT (-84.6524445 37.2509114),1.0
Perry,IL,1990,1,POINT (-90.7453794 39.7829423),1.0
Macomb,MI,1993,13,POINT (-82.9179487 42.6726042),0.9942528735632185
McHenry,IL,1994,2,POINT (-88.2674875 42.3431427),0.9995210727969348
Austin,TX,1994,1,POINT (-97.7436995 30.2711286),1.0
Rowan,NC,1995,6,POINT (-78.2711102 34.5129458),0.9976053639846744
Will,IL,1980,39,POINT (-88.1762799 41.7710775),0.9818007662835248
Alcona,MI,1980,1,POINT (-83.2977451 44.7600127),1.0
Benton,MS,1980,1,POINT (-90.259533 32.8265223),1.0
Madison,MS,1980,1,POINT (-90.1153638 32.4618086),1.0
St. Lawrence,NY,1980,4,POINT (-76.1677157 44.1772711),0.9985632183908046
Otsego,NY,1980,3,POINT (-74.958889 42.734722),0.9990421455938696
Sandusky,OH,1980,2,POINT (-82.7115813 41.4561002),0.9995210727969348
Cleveland,OK,1980,5,POINT (-96.4641953 36.3099921),0.9980842911877394
Madison,TN,1980,7,POINT (-86.7138861 36.2561646),0.9971264367816092
Salem,VA,1980,1,POINT (-80.0556773 37.293198),1.0
Polk,WI,1980,1,POINT (-88.2107921 43.3251532),1.0
Calhoun,AL,1981,14,POINT (-86.5449739 32.0501467),0.9937739463601531
Marshall,AL,1981,6,POINT (-86.1446984 34.2428718),0.9976053639846744
Madera,CA,1981,6,POINT (-120.0594685 36.9622745),0.9976053639846744
Yuba,CA,1981,6,POINT (-121.6169108 39.1404477),0.9976053639846744
Vance,NC,1981,5,POINT (-78.9419798 35.0905575),0.9980842911877394
Columbia,PA,1981,1,POINT (-76.5016402 40.032089),1.0
Colleton,SC,1981,5,POINT (-80.882323 33.0398845),0.9980842911877394
Brown,TX,1981,6,POINT (-101.7370795 32.4259466),0.9976053639846744
Waldo,ME,1982,1,POINT (-69.0761484 44.5125736),1.0
Marion,WV,1982,4,POINT (-80.7714833 39.6756338),0.9985632183908046
Anchorage,AK,1983,16,POINT (-149.894852 61.2163129),0.992816091954023
Arapahoe,CO,1983,22,POINT (-102.1775371 38.8538252),0.9899425287356322
Glades,FL,1983,2,POINT (-80.2052687 25.9105056),0.9995210727969348
Stephens,GA,1983,4,POINT (-83.1615422 33.794843),0.9985632183908046
Nash,NC,1983,10,POINT (-78.6728453 35.9888734),0.9956896551724138
Grafton,NH,1983,1,POINT (-71.946716 43.562979),1.0
Uintah,UT,1983,2,POINT (-111.923286 41.1441153),0.9995210727969348
Sacramento,CA,1984,85,POINT (-121.493895 38.5810606),0.9597701149425288
Montgomery,MS,1984,1,POINT (-90.3267521 33.2973452),1.0
Wayne,OH,1984,1,POINT (-83.4735393 41.3014415),1.0
Isle of Wight,VA,1984,2,POINT (-76.707735 36.9076493),0.9995210727969348
Manassas,VA,1984,1,POINT (-77.4752667 38.7509488),1.0
Coosa,AL,1985,2,POINT (-86.3455327 33.2792796),0.9995210727969348
Webster,IA,1985,1,POINT (-92.1689711 41.4382977),1.0
Lake,IL,1985,17,POINT (-87.549847 41.1688018),0.992337164750958
De Soto,LA,1985,1,POINT (-93.6951819 32.029052),1.0
Tensas,LA,1985,3,POINT (-91.2503906 32.0501553),0.9990421455938696
Kennebec,ME,1985,1,POINT (-67.46388 44.6684111),1.0
Livingston,MI,1985,5,POINT (-86.5427363 41.9681416),0.9980842911877394
Kandiyohi,MN,1985,1,POINT (-94.9311166 45.1321856),1.0
Ravalli,MT,1985,4,POINT (-114.1672423 47.2767785),0.9985632183908046
Putnam,TN,1985,4,POINT (-85.4983996 36.1423085),0.9985632183908046
Gonzales,TX,1985,1,POINT (-97.4496293 29.5068721),1.0
Alachua,FL,1986,13,POINT (-82.4875131 29.7895372),0.9942528735632185
Linn,IA,1986,2,POINT (-95.2466846 42.8912708),0.9995210727969348
Chowan,NC,1986,2,POINT (-76.6677262 36.266545),0.9995210727969348
Carroll,TN,1986,1,POINT (-88.8200586 35.7184028),1.0
Robertson,TN,1986,5,POINT (-88.7186641 35.2656375),0.9980842911877394
Anderson,TX,1986,10,POINT (-95.9868986 30.487147),0.9956896551724138
Wood,TX,1986,4,POINT (-102.3288028 31.8669402),0.9985632183908046
Monroe,IN,1987,1,POINT (-84.9369111 40.7450468),1.0
York,ME,1987,7,POINT (-70.6505274 43.1439384),0.9971264367816092
Kalamazoo,MI,1987,9,POINT (-85.5872286 42.291707),0.9961685823754788
Shelby,TN,1987,159,POINT (-89.8520307 35.1537007),0.9243295019157088
Gillespie,TX,1987,2,POINT (-102.3559564 31.8389633),0.9995210727969348
Burnett,WI,1987,1,POINT (-88.707049 43.504715),1.0
Wayne,WV,1987,3,POINT (-82.4423747 38.2214748),0.9990421455938696
Franklin,AL,1988,2,POINT (-85.8024562 32.4784706),0.9995210727969348
Forsyth,GA,1988,3,POINT (-83.9389018 33.0344998),0.9990421455938696
Toombs,GA,1988,3,POINT (-82.3475861 32.0480485),0.9990421455938696
Jackson,MS,1988,4,POINT (-90.1830408 32.2998686),0.9985632183908046
Haywood,NC,1988,1,POINT (-79.0639047 35.6201515),1.0
McKinley,NM,1988,4,POINT (-106.3819637 34.6383935),0.9985632183908046
Valencia,NM,1988,8,POINT (-106.701284 34.7997888),0.996647509578544
Henry,VA,1988,3,POINT (-79.9917065 36.8293043),0.9990421455938696
Mineral,WV,1988,1,POINT (-81.8237283 37.733719),1.0
Calaveras,CA,1989,1,POINT (-120.8466037 38.1707527),1.0
Lamar,GA,1989,3,POINT (-84.0718475 32.01628),0.9990421455938696
Nez Perce,ID,1989,3,POINT (-116.2295209 43.587761),0.9990421455938696
Livingston,LA,1989,3,POINT (-90.7478737 30.5021345),0.9990421455938696
Brooks,TX,1989,1,POINT (-98.4433576 29.34514),1.0
Burnet,TX,1989,1,POINT (-98.2239954 30.7608552),1.0
De Witt,IL,1990,1,POINT (-88.7861844 40.1811468),1.0
Johnston,NC,1990,6,POINT (-77.3597178 35.6107324),0.9976053639846744
Person,NC,1990,3,POINT (-78.6354341 35.7731164),0.9990421455938696
Chenango,NY,1990,2,POINT (-75.8979428 42.197622),0.9995210727969348
Columbia,PA,1990,2,POINT (-76.5016402 40.032089),0.9995210727969348
Greene,TN,1990,3,POINT (-83.2616205 36.2403709),0.9990421455938696
Marion,WV,1990,2,POINT (-80.7714833 39.6756338),0.9995210727969348
Barrow,GA,1991,1,POINT (-83.7443386 33.9917761),1.0
Clark,IN,1991,2,POINT (-87.3945392 41.6113484),0.9995210727969348
Monroe,MI,1991,6,POINT (-83.3968252 41.9145037),0.9976053639846744
Benton,MN,1991,1,POINT (-96.287539 44.261079),1.0
St. Louis,MO,1991,32,POINT (-90.1910154 38.6280278),0.9851532567049808
Colleton,SC,1991,3,POINT (-80.882323 33.0398845),0.9990421455938696
Roane,TN,1991,5,POINT (-84.3481296 35.8894436),0.9980842911877394
Unicoi,TN,1991,1,POINT (-82.3495818 36.1953862),1.0
Crosby,TX,1991,1,POINT (-95.0632549 29.91154),1.0
Juneau,WI,1991,1,POINT (-88.7051037 43.4055504),1.0
Hot Spring,AR,1992,1,POINT (-92.8681111 34.2977104),1.0
Chickasaw,IA,1992,1,POINT (-92.4951821 43.0338635),1.0
Vigo,IN,1992,5,POINT (-87.5372453 39.2872608),0.9980842911877394
St. Lawrence,NY,1992,3,POINT (-76.1677157 44.1772711),0.9990421455938696
Logan,OH,1992,3,POINT (-82.4084891 39.5398708),0.9990421455938696
Fayette,PA,1992,8,POINT (-79.918944 39.8222992),0.996647509578544
Oconee,SC,1992,6,POINT (-82.8967672 34.7938113),0.9976053639846744
Maury,TN,1992,2,POINT (-89.2256244 35.814796),0.9995210727969348
Seminole,FL,1993,13,POINT (-82.7911248 27.8400919),0.9942528735632185
Franklin,KY,1993,4,POINT (-86.5772177 36.722263),0.9985632183908046
Fulton,KY,1993,2,POINT (-88.8752157 36.5056054),0.9995210727969348
Pasquotank,NC,1993,3,POINT (-76.3385487 36.2673789),0.9990421455938696
Pickens,SC,1993,6,POINT (-82.7073573 34.8834489),0.9976053639846744
Alexandria,VA,1993,9,POINT (-77.0470229 38.8051095),0.9961685823754788
Spalding,GA,1994,11,POINT (-83.9985963 32.2935267),0.9952107279693486
Walthall,MS,1994,1,POINT (-89.277291 33.6073419),1.0
Centre,PA,1994,2,POINT (-77.4072089 40.3561943),0.9995210727969348
Martinsville,VA,1994,4,POINT (-79.8725386 36.6915262),0.9985632183908046
Bryan,GA,1995,1,POINT (-81.5928901 31.8918754),1.0
Pendleton,KY,1995,1,POINT (-85.3035678 38.4622879),1.0
Adams,MS,1995,2,POINT (-90.5606536 32.1598736),0.9995210727969348
Passaic,NJ,1995,20,POINT (-74.1286298 40.8566936),0.9909003831417624
Torrance,NM,1995,2,POINT (-105.5280589 34.3411842),0.9995210727969348
Henderson,NC,1985,6,POINT (-78.4027265 36.3273648),0.9976053639846744
Tom Green,TX,1985,13,POINT (-97.7337686 30.2943657),0.9942528735632185
Tom Green,TX,1987,11,POINT (-97.7337686 30.2943657),0.9952107279693486
Sumter,SC,1990,19,POINT (-80.3414693 33.9204354),0.9913793103448276
Madison,AL,1992,3,POINT (-86.7511427 34.6928726),0.9990421455938696
Flagler,FL,1994,1,POINT (-80.8971805 29.0390605),1.0
Cleburne,AL,1980,4,POINT (-85.6296817 33.6481612),0.9985632183908046
Dubuque,IA,1980,2,POINT (-90.6647985 42.5006243),0.9995210727969348
Rutherford,NC,1980,4,POINT (-78.7207704 35.645118),0.9985632183908046
Lincoln,NM,1980,2,POINT (-105.3838546 33.4919917),0.9995210727969348
Dyer,TN,1980,3,POINT (-88.9939549 36.0667348),0.9990421455938696
Newport News,VA,1980,25,POINT (-76.42977 36.9775016),0.9885057471264368
Colbert,AL,1981,3,POINT (-85.2366056 32.2826476),0.9990421455938696
Hernando,FL,1981,8,POINT (-82.3745401 28.8999815),0.996647509578544
Marion,OR,1981,16,POINT (-122.942314 44.7490108),0.992816091954023
Angelina,TX,1981,5,POINT (-94.7069743 31.3658498),0.9980842911877394
Stonewall,TX,1981,1,POINT (-98.6646189 30.2359344),1.0
Richland,WI,1981,1,POINT (-90.3407093 43.3364155),1.0
Yuba,CA,1982,4,POINT (-121.6169108 39.1404477),0.9985632183908046
Effingham,GA,1982,1,POINT (-81.2840558 32.2777807),1.0
Allen,KS,1982,3,POINT (-96.1700872 38.6554065),0.9990421455938696
Clay,KY,1982,2,POINT (-87.8200159 37.4767119),0.9995210727969348
St. Charles,LA,1982,6,POINT (-90.7209236 29.7532654),0.9976053639846744
St. Charles,MO,1982,5,POINT (-90.481677 38.783855),0.9980842911877394
McDowell,NC,1982,2,POINT (-81.0030813 35.1010813),0.9995210727969348
Passaic,NJ,1982,37,POINT (-74.1286298 40.8566936),0.9827586206896552
Bedford,PA,1982,1,POINT (-78.5039069 40.0186921),1.0
Bosque,TX,1983,2,POINT (-97.6039096 31.8548776),0.9995210727969348
Limestone,TX,1983,2,POINT (-97.6755441 30.3909145),0.9995210727969348
Little River,AR,1984,1,POINT (-90.1003701 35.8075752),1.0
Marshall,IL,1984,1,POINT (-87.6936384 39.3914252),1.0
St. Clair,MI,1984,3,POINT (-82.4864138 42.8254954),0.9990421455938696
Cherokee,OK,1984,1,POINT (-98.3567403 36.7544746),1.0
Carter,TN,1984,1,POINT (-83.7341305 36.0262686),1.0
Hopewell,VA,1984,3,POINT (-77.2872001 37.3043154),0.9990421455938696
Johnson,IN,1985,3,POINT (-87.745861 38.277823),0.9990421455938696
St. Clair,MO,1985,1,POINT (-90.9809549 38.345274),1.0
Douglas,NE,1985,26,POINT (-96.3852426 40.5915455),0.9880268199233716
Wayne,NC,1985,15,POINT (-78.7082638 35.9001087),0.9932950191570882
Lafayette,WI,1985,1,POINT (-91.2748985 44.9258672),1.0
Kanawha,WV,1985,11,POINT (-81.4601209 39.1989653),0.9952107279693486
Windham,CT,1986,1,POINT (-72.1578243 41.6993535),1.0
Calhoun,GA,1986,2,POINT (-84.9510542 34.502587),0.9995210727969348
Mercer,KY,1986,1,POINT (-87.151107 37.2575427),1.0
