,state,county,Unemployment,countyhelper,ranking,geometry
1603,IN,White,2.56,INWhite County,0.8042880792601375,POINT (-86.8713913 40.7422434)
1604,SD,Hanson,2.7,SDHanson County,0.7965915371604246,POINT (-97.7945361 43.6615541)
1605,FL,Sumter,4.23,FLSumter County,0.7124793916700981,POINT (-82.076402 28.6689748)
1606,RI,Newport,2.88,RINewport County,0.7866959867771146,POINT (-71.2971352 41.5107263)
1607,ID,Jerome,2.54,IDJerome County,0.8053875834019361,POINT (-114.286704 42.702266)
1608,WA,Ferry,10.66,WAFerry County,0.3589884824037919,POINT (-118.4834362 48.4736934)
1609,NC,Craven,3.82,NCCraven County,0.7350192527912143,POINT (-77.0439978 35.0808574)
1610,OK,Garfield,3.0,OKGarfield County,0.7800989619263234,POINT (-97.7845975 36.3735486)
1611,NE,Thurston,3.49,NEThurston County,0.7531610842380132,POINT (-96.5394986 42.1837827)
1612,MS,Clarke,4.94,MSClarke County,0.6734469553148807,POINT (-88.7003965 32.0396256)
1613,SD,Clark,2.36,SDClark County,0.815283133785246,POINT (-97.7431382 44.8684319)
1614,NY,Schoharie,3.74,NYSchoharie County,0.7394172693584085,POINT (-74.4390277 42.5757217)
1615,IA,Clayton,3.98,IAClayton County,0.726223206549703,POINT (-91.3667151 42.8547706)
1616,MT,Judith Basin,2.51,MTJudith Basin County,0.8070368396146338,POINT (-110.2261158 47.0159821)
1617,TX,Hood,3.9,TXHood County,0.7306212231168969,POINT (-97.828282 32.4107555)
1618,VA,Frederick,2.49,VAFrederick County,0.8081363437564323,POINT (-78.279166 39.2127031)
